path,label
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0157, 0.0157, 0.0157])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0.1765, 0.1765, 0.1765,  ..., 0.1765, 0.1765, 0.1765])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1765, 0.1765, 0.1765,  ..., 0.1765, 0.1765, 0.1765])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0196, 0.0196, 0.0196])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0157, 0.0157, 0.0157])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0549, 0.0549, 0.0549,  ..., 0.0549, 0.0549, 0.0549])",0
"tensor([0.1490, 0.1490, 0.1490,  ..., 0.1490, 0.1490, 0.1490])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1961, 0.1961, 0.1961,  ..., 0.2039, 0.2039, 0.2039])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0392, 0.0392, 0.0392,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1176, 0.1176, 0.1176,  ..., 0.1176, 0.1176, 0.1176])",0
"tensor([0.0275, 0.0275, 0.0275,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0275, 0.0275, 0.0275])",0
"tensor([0.0745, 0.0745, 0.0745,  ..., 0.0471, 0.0471, 0.0471])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0157, 0.0157, 0.0157])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0588, 0.0588, 0.0588,  ..., 0.0549, 0.0549, 0.0549])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1098, 0.1098, 0.1098,  ..., 0.0510, 0.0510, 0.0510])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1098, 0.1098, 0.1098,  ..., 0.1333, 0.1333, 0.1333])",0
"tensor([0.1922, 0.1922, 0.1922,  ..., 0.2627, 0.2627, 0.2627])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0471, 0.0471, 0.0471,  ..., 0.0471, 0.0471, 0.0471])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0.1294, 0.1294, 0.1294,  ..., 0.1294, 0.1294, 0.1294])",0
"tensor([0.2157, 0.2157, 0.2157,  ..., 0.2196, 0.2196, 0.2196])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0706, 0.0706, 0.0706,  ..., 0.0706, 0.0706, 0.0706])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1333, 0.1333, 0.1333,  ..., 0.1333, 0.1333, 0.1333])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0157, 0.0157, 0.0157])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0157, 0.0157, 0.0157])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0.1059, 0.1059, 0.1059,  ..., 0.1059, 0.1059, 0.1059])",0
"tensor([0.0706, 0.0706, 0.0706,  ..., 0.0941, 0.0941, 0.0941])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0431, 0.0431, 0.0431])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0.1961, 0.1961, 0.1961,  ..., 0.1961, 0.1961, 0.1961])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0157, 0.0157, 0.0157])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0784, 0.0784, 0.0784,  ..., 0.0431, 0.0431, 0.0431])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0471, 0.0471, 0.0471,  ..., 0.0471, 0.0471, 0.0471])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1647, 0.1647, 0.1647,  ..., 0.1647, 0.1647, 0.1647])",0
"tensor([0.1686, 0.1686, 0.1686,  ..., 0.1686, 0.1686, 0.1686])",0
"tensor([0.1725, 0.1725, 0.1725,  ..., 0.1843, 0.1843, 0.1843])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0431, 0.0431, 0.0431])",0
"tensor([0.1725, 0.1725, 0.1725,  ..., 0.1725, 0.1725, 0.1725])",0
"tensor([0.0196, 0.0196, 0.0196,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0588, 0.0588, 0.0588])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0471, 0.0471, 0.0471,  ..., 0.0471, 0.0471, 0.0471])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0392, 0.0392, 0.0392,  ..., 0.0510, 0.0510, 0.0510])",0
"tensor([0.0549, 0.0549, 0.0549,  ..., 0.0549, 0.0549, 0.0549])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1686, 0.1686, 0.1686,  ..., 0.1686, 0.1686, 0.1686])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1765, 0.1765, 0.1765,  ..., 0.1333, 0.1333, 0.1333])",0
"tensor([0.0549, 0.0549, 0.0549,  ..., 0.0549, 0.0549, 0.0549])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0431, 0.0431, 0.0431])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1294, 0.1294, 0.1294,  ..., 0.1294, 0.1294, 0.1294])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1882, 0.1882, 0.1882,  ..., 0.1647, 0.1647, 0.1647])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0392, 0.0392, 0.0392,  ..., 0.0392, 0.0392, 0.0392])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0196, 0.0196, 0.0196])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0863, 0.0863, 0.0863,  ..., 0.0667, 0.0667, 0.0667])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0275, 0.0275, 0.0275,  ..., 0.0510, 0.0510, 0.0510])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1059, 0.1059, 0.1059,  ..., 0.1059, 0.1059, 0.1059])",0
"tensor([0.1922, 0.1922, 0.1922,  ..., 0.1922, 0.1922, 0.1922])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1569, 0.1569, 0.1569,  ..., 0.1569, 0.1569, 0.1569])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0.1490, 0.1490, 0.1490,  ..., 0.1490, 0.1490, 0.1490])",0
"tensor([0.0471, 0.0471, 0.0471,  ..., 0.0863, 0.0863, 0.0863])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0196, 0.0196, 0.0196])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0.1176, 0.1176, 0.1176,  ..., 0.1333, 0.1333, 0.1333])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1843, 0.1843, 0.1843,  ..., 0.1843, 0.1843, 0.1843])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0392, 0.0392, 0.0392,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0.0275, 0.0275, 0.0275,  ..., 0.0275, 0.0275, 0.0275])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0980, 0.0980, 0.0980,  ..., 0.1451, 0.1451, 0.1451])",0
"tensor([0.0431, 0.0431, 0.0431,  ..., 0.0000, 0.0000, 0.0000])",0
"tensor([0.2078, 0.2078, 0.2078,  ..., 0.2078, 0.2078, 0.2078])",0
"tensor([0.1725, 0.1725, 0.1725,  ..., 0.1765, 0.1765, 0.1765])",0
"tensor([0.0275, 0.0275, 0.0275,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0784, 0.0784, 0.0784,  ..., 0.0706, 0.0706, 0.0706])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1255, 0.1255, 0.1255,  ..., 0.1059, 0.1059, 0.1059])",0
"tensor([0.0549, 0.0549, 0.0549,  ..., 0.0549, 0.0549, 0.0549])",0
"tensor([0.0275, 0.0275, 0.0275,  ..., 0.0275, 0.0275, 0.0275])",0
"tensor([0.1843, 0.1843, 0.1843,  ..., 0.1843, 0.1843, 0.1843])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0314, 0.0314, 0.0314])",0
"tensor([0.0627, 0.0627, 0.0627,  ..., 0.0627, 0.0627, 0.0627])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0.0667, 0.0667, 0.0667,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0.0627, 0.0627, 0.0627,  ..., 0.0431, 0.0431, 0.0431])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1451, 0.1451, 0.1451,  ..., 0.1216, 0.1216, 0.1216])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0392, 0.0392, 0.0392])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0039, 0.0039, 0.0039,  ..., 0.0039, 0.0039, 0.0039])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0745, 0.0745, 0.0745,  ..., 0.0745, 0.0745, 0.0745])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0157, 0.0157, 0.0157,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0078, 0.0078, 0.0078,  ..., 0.0078, 0.0078, 0.0078])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0471, 0.0471, 0.0471])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0627, 0.0627, 0.0627,  ..., 0.0588, 0.0588, 0.0588])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0275, 0.0275, 0.0275,  ..., 0.0275, 0.0275, 0.0275])",0
"tensor([0.0471, 0.0471, 0.0471,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0980, 0.0980, 0.0980,  ..., 0.1216, 0.1216, 0.1216])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1922, 0.1922, 0.1922,  ..., 0.1922, 0.1922, 0.1922])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0314, 0.0314, 0.0314,  ..., 0.0275, 0.0275, 0.0275])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0.0118, 0.0118, 0.0118,  ..., 0.0118, 0.0118, 0.0118])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1176, 0.1176, 0.1176,  ..., 0.1216, 0.1216, 0.1216])",0
"tensor([0.0353, 0.0353, 0.0353,  ..., 0.0353, 0.0353, 0.0353])",0
"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0235, 0.0235, 0.0235])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.1059, 0.1059, 0.1059,  ..., 0.1059, 0.1059, 0.1059])",0
"tensor([0.0510, 0.0510, 0.0510,  ..., 0.0510, 0.0510, 0.0510])",0
"tensor([0., 0., 0.,  ..., 0., 0., 0.])",0
"tensor([0.0196, 0.0196, 0.0196,  ..., 0.0196, 0.0196, 0.0196])",0
"tensor([0.0235, 0.0235, 0.0235,  ..., 0.0039, 0.0039, 0.0039])",0
